zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
00801,00801,Zip matches ZCTA,18.349871,-64.974016
00802,00802,Zip Matches ZCTA,18.340709,-64.923329
00803,00802,Spatial join to ZCTA,18.340709,-64.923329
00804,00802,Spatial join to ZCTA,18.340709,-64.923329
00805,00802,Spatial join to ZCTA,18.340709,-64.923329
00820,00820,Zip Matches ZCTA,17.7431,-64.686556
00821,00820,Spatial join to ZCTA,17.7431,-64.686556
00822,00820,Spatial join to ZCTA,17.7431,-64.686556
00823,00823,Zip matches ZCTA,17.723548,-64.745932
00824,00824,Zip matches ZCTA,17.744557,-64.682933
00830,00830,Zip Matches ZCTA,18.338559,-64.73653
00831,00831,Zip matches ZCTA,18.327294,-64.78672
00840,00840,Zip matches ZCTA,17.678145,-64.902355
00841,00841,Zip matches ZCTA,17.758634,-64.817451
00850,00850,Zip matches ZCTA,17.745949,-64.80055
00851,00851,Zip matches ZCTA,17.732228,-64.77076
00901,00901,Zip Matches ZCTA,18.465369,-66.104613
00902,00901,Spatial join to ZCTA,18.465369,-66.104613
00906,00906,Zip matches ZCTA,18.46446,-66.094995
00907,00907,Zip Matches ZCTA,18.452553,-66.077838
00908,00907,Spatial join to ZCTA,18.452553,-66.077838
00909,00909,Zip Matches ZCTA,18.44161,-66.067132
00910,00909,Spatial join to ZCTA,18.44161,-66.067132
00911,00911,Zip Matches ZCTA,18.451159,-66.056199
00912,00912,Zip Matches ZCTA,18.445334,-66.060139
00913,00913,Zip Matches ZCTA,18.450002,-66.042656
00914,00911,Spatial join to ZCTA,18.451159,-66.056199
00915,00915,Zip Matches ZCTA,18.437179,-66.045571
00916,00915,Spatial join to ZCTA,18.437179,-66.045571
00917,00917,Zip Matches ZCTA,18.420674,-66.050105
00918,00918,Zip Matches ZCTA,18.421022,-66.065789
00919,00918,Spatial join to ZCTA,18.421022,-66.065789
00920,00920,Zip Matches ZCTA,18.414292,-66.088042
00921,00921,Zip Matches ZCTA,18.392292,-66.088528
00922,00968,Spatial join to ZCTA,18.406085,-66.101232
00923,00923,Zip Matches ZCTA,18.409307,-66.038888
00924,00924,Zip Matches ZCTA,18.399192,-66.012453
00925,00925,Zip Matches ZCTA,18.400296,-66.050602
00926,00926,Zip Matches ZCTA,18.3454,-66.051545
00927,00927,Zip Matches ZCTA,18.388011,-66.072089
00928,00925,Spatial join to ZCTA,18.400296,-66.050602
00929,00924,Spatial join to ZCTA,18.399192,-66.012453
